symptoms0symptom,id,icd-10-name,icd-10
Abnormal appearing tongue,"[421, 266, 39]","Disease of tongue, unspecified",K14.9
Nose deformity,[520],Acquired deformity of nose,M95.0
Foot or toe weakness,"[752, 378, 772, 528]",Muscle weakness,M62.81
Nausea,"[55, 100, 208, 222, 527, 529, 608, 634, 696, 271, 302, 366, 153, 181, 702, 109, 26, 284, 300, 301, 324, 337, 140, 413, 491, 657, 773, 601, 365, 614, 268, 128, 476, 484, 620, 715, 45, 250, 291, 293, 20, 439, 492, 594, 136, 22, 673, 13, 733, 768, 57, 290, 168, 187, 410, 430, 624, 671, 730, 774, 278, 355, 364, 156, 519, 645, 655, 712, 742, 559, 360, 163, 418, 549, 653, 748, 790, 53, 62, 213, 256, 114, 130, 426, 449, 468, 654, 41, 66, 68, 252, 482, 619, 664, 38, 73, 286, 326, 123, 171, 402, 461, 202, 242, 325, 177, 381, 429, 684]",Nausea,R11.0
Diminished vision,"[289, 147, 334, 371, 605, 173, 416, 648, 254, 200, 20, 382, 704, 755, 76, 203, 8, 727, 716, 730, 37, 340, 167, 525, 549, 692, 391, 201, 158, 185, 449, 786, 25, 68, 764, 73, 92, 402, 604, 88, 257, 121, 122]",Unspecified visual loss,H54.7
Slurring words,"[289, 357, 15, 668, 21, 562, 398, 2, 297, 168, 37, 444, 93, 458, 5, 160, 538, 591, 457, 402, 604]",Slurred speech,R47.81
Hoarse voice,"[436, 284, 34, 128, 537, 215, 679, 589, 637, 551, 224, 192, 753, 329, 574, 216, 493]",Dysphonia,R49.0
Painful menstruation,"[494, 529, 662, 339, 365, 199, 75, 6, 404, 588, 609, 626, 269, 74, 684]","Dysmenorrhea, unspecified",N94.6
Flatulence,"[527, 658, 144, 694, 359, 119, 139, 432, 248, 108, 89, 233]",Flatulence,R14.3
Swelling of scrotum,"[749, 639, 526, 544, 108, 445, 595, 369, 209, 469, 734, 217, 447, 581, 756]",Other specified disorders of male genital organs,N50.89
Pain in testicles,"[749, 324, 639, 441, 490, 320, 442, 704, 136, 387, 108, 551, 499, 595, 795, 469]","Testicular pain, unspecified",N50.819
Delusions or hallucinations,"[230, 362, 366, 116, 11, 668, 49, 281, 301, 656, 728, 70, 641, 562, 214, 698, 781, 297, 13, 455, 521, 522, 705, 741, 316, 481, 219, 556, 779, 175, 745, 597, 264, 352, 5, 615, 726, 560, 160, 403, 368, 623, 674, 721, 69, 412, 478, 578]","Hallucinations, unspecified",R44.3
Fears and phobias,"[349, 362, 115, 11, 281, 641, 511, 2, 679, 522, 741, 219, 645, 688, 779, 615, 560, 403, 422, 771, 623, 674, 69]","Phobic anxiety disorder, unspecified",F40.9
Gum pain,"[374, 598, 272, 343, 370, 638, 400, 358, 287, 178, 532, 538, 65, 417, 478]",Other specified disorders of gingiva,K06.8
Knee weakness,"[606, 30, 173, 180, 420, 775, 126, 323, 502, 29, 157, 197, 616]",Muscle weakness,M62.81
Low urine output,"[548, 469]",Anuria and oliguria,R34
Elbow pain,"[81, 763, 155, 787, 235, 18, 611, 161, 258, 738, 661, 723, 223, 182, 126, 516, 712, 502, 707, 103, 238, 513, 29, 197, 497, 244]",Pain in unspecified elbow,M25.529
Paresthesia,"[100, 321, 7, 376, 627, 724, 10, 450, 611, 241, 137, 161, 383, 550, 564, 492, 759, 277, 661, 723, 236, 150, 455, 459, 722, 378, 481, 37, 266, 188, 556, 603, 84, 260, 279, 315, 475, 130, 158, 407, 743, 68, 632, 286, 573, 88, 244, 121, 172, 385]",Paresthesia of skin,R20.2
Burning abdominal pain,"[208, 222, 527, 529, 696, 339, 694, 702, 56, 212, 284, 300, 561, 268, 199, 476, 620, 27, 439, 594, 733, 761, 576, 445, 653, 748, 790, 57, 187, 410, 430, 671, 245, 156, 519, 655, 742, 559, 53, 739, 449, 468, 41, 66, 482, 664, 269, 325, 379, 440, 585]","Abdominal pain, unspecified",R10.9
Heartburn,"[222, 302, 506, 580, 284, 300, 601, 30, 291, 594, 210, 248, 175, 418, 790, 187, 399, 410, 649, 774, 98, 266, 742, 559, 654, 4, 452, 664, 194, 244, 325, 379, 622, 631]",Heartburn,R12
Neck pain,"[321, 357, 634, 763, 262, 271, 787, 56, 365, 714, 26, 337, 161, 143, 236, 678, 727, 690, 146, 624, 730, 52, 713, 603, 260, 264, 279, 346, 570, 72, 238, 185, 540, 565, 40, 46, 326, 480, 625, 687, 573, 607]",Cervicalgia,M54.2
Difficulty breathing,"[347, 577, 129, 488, 43, 10, 413, 453, 132, 571, 414, 709, 225, 231, 134, 425, 613, 483, 621, 720, 618, 637, 82, 176, 566, 84, 256, 542, 685, 753, 59, 294, 435, 507, 61, 234, 252, 4, 536, 610, 412, 461, 486, 746, 311, 493]","Dyspnea, unspecified",R06.00
Blood clots during menstrual periods,"[494, 682, 154, 75, 356, 64, 767, 739, 609]",Excessive/frequent menstruation,N92.0
Joint stiffness or tightness,"[796, 189, 170, 735, 375, 328, 479, 367, 196, 205, 496, 770, 792, 390, 579, 344, 50, 345, 138, 149, 397, 467, 90, 135, 533, 665]",Stiffness of unspecified joint,M25.60
Throat swelling,"[106, 10, 431, 186, 3, 112, 363, 123, 309]","Localized swelling, mass and lump, neck",R22.1
Sleepiness,"[271, 668, 606, 162, 243, 537, 293, 134, 425, 781, 297, 239, 290, 264, 726, 158, 591, 61, 221, 610, 721]",Somnolence,R40.0
Obsessions and compulsions,"[116, 281, 728, 781, 597, 779, 560, 164, 548, 771, 623, 253]","Obsessive-compulsive disorder, unspecified",F42.9
Elbow swelling,"[235, 18, 491, 258, 543, 223, 707, 103, 197, 172]",Effusion/swelling of unspecified elbow,M25.429
Dry or flaky scalp,"[406, 97, 335, 361, 422, 590]","Seborrheic dermatitis, unspecified",L21.9
Throat redness,"[186, 794]",Other diseases of pharynx,J39.2
Changes in stool appearance,"[42, 354, 512, 303, 140, 594, 248, 224, 360, 642, 649, 655, 795, 233, 379]",Other fecal abnormalities,R19.5
Swollen abdomen,"[42, 662, 749, 181, 558, 576, 595, 419, 217, 171, 581]",Intra-abdominal and pelvic swelling,R19.00
Groin pain,"[55, 474, 749, 526, 535, 320, 64, 136, 530, 576, 182, 184, 3, 659, 745, 570, 433, 544, 676, 740, 769, 786, 632, 734, 46, 217, 478, 581]","Lower abdominal pain, unspecified",R10.30
Diarrhea,"[100, 208, 222, 527, 608, 696, 145, 153, 702, 614, 109, 1, 491, 657, 601, 199, 476, 484, 45, 250, 293, 439, 248, 727, 733, 768, 360, 539, 669, 790, 53, 57, 187, 410, 671, 364, 645, 559, 130, 426, 468, 654, 795, 592, 65, 66, 482, 486, 325, 177, 379, 429]","Diarrhea, unspecified",R19.7
Problems with movement,"[226, 147, 7, 763, 349, 366, 145, 15, 724, 342, 18, 718, 562, 49, 301, 343, 137, 550, 564, 30, 243, 492, 515, 99, 277, 198, 420, 679, 101, 283, 297, 341, 150, 455, 558, 93, 327, 378, 659, 745, 218, 260, 315, 16, 475, 502, 707, 719, 290, 433, 730, 774, 266, 556, 603, 201, 403, 435, 743, 591, 46, 69, 286, 295, 402, 687, 244, 381]",Unspecified abnormalities of gait and mobility,R26.9
Lymphedema,"[270, 181, 488, 332, 10, 550, 318, 518, 633, 747, 459, 785, 58, 104, 458, 191, 542, 567, 95, 246, 569, 71, 252, 632, 734, 309]","Lymphedema, not elsewhere classified",I89.0
Foot or toe swelling,"[270, 376, 708, 563, 18, 241, 550, 30, 214, 697, 83, 143, 775, 341, 485, 785, 462, 772, 174, 16, 719, 306, 795, 599, 295, 244, 309, 350, 528, 629]",Other specified soft tissue disorders,M79.89
Coughing up sputum,"[289, 347, 67, 10, 353, 677, 48, 431, 483, 681, 685, 750, 774, 531, 59, 507, 234, 486, 640, 746]",Other specified cough,R05.8
Hemoptysis,"[347, 577, 272, 451, 697, 677, 104, 142, 184, 192, 24, 57, 636, 569, 536, 204]",Hemoptysis,R04.2
Palpitations,"[347, 362, 115, 129, 488, 424, 697, 571, 33, 250, 414, 651, 576, 211, 621, 179, 542, 399, 98, 617, 96, 71, 252, 457, 536, 619, 105, 247, 348, 622, 751]",Palpitations,R00.2
Hip stiffness or tightness,"[159, 474, 635, 420, 691, 689, 477, 446, 220, 433, 524, 672, 554, 552]",Stiffness of unspecified hip,M25.659
Leg weakness,"[7, 428, 349, 181, 724, 21, 718, 656, 308, 180, 382, 515, 777, 277, 420, 283, 733, 315, 346, 24, 570, 316, 168, 603, 363, 130, 489, 743, 667, 194, 573, 616]",Muscle weakness,M62.81
Rectal bleeding,"[527, 153, 506, 639, 432, 360, 546, 748, 53, 757, 410, 556, 655, 468, 452, 482, 325]",Hemorrhage of anus and rectum,K62.5
Mass on vulva,"[662, 535, 141, 489, 552]",Other specified disorders of vulva,N90.89
Absence of menstruation,"[682, 506, 470, 406, 263, 141, 472, 64, 6, 184, 405, 251, 372, 269, 631, 684]","Amenorrhea, unspecified",N91.2
Shoulder cramps or spasms,"[796, 189, 170, 375, 328, 479, 205, 770, 568, 344, 390, 579, 50, 345, 397, 467, 90, 135, 533, 665]",Cramp and spasm,R25.2
Vaginal dryness,"[303, 470, 404, 110, 384, 640, 765]",Other specified noninflammatory disorders of vagina,N89.8
Foreign body sensation in eye,"[334, 51, 333, 508, 125, 371, 275, 173, 416, 460, 648, 229, 200, 76, 203, 473, 692, 78, 86, 131, 391, 166, 516, 312, 525, 495, 25, 35, 454]","Disorder of eye, unspecified",H57.9
Problems during pregnancy,"[702, 56, 70, 79, 154, 484, 490, 356, 64, 22, 394, 210, 314, 705, 767, 174, 666, 739, 487, 703, 156, 188, 449, 41, 412, 629, 585]","Pregnancy related condition, unspecified",O26.90
Bleeding gums,"[120, 398, 142, 184, 191, 358, 532, 538, 417]",Other specified disorders of gingiva,K06.8
Incontinence of stool,"[476, 788, 434, 501, 546, 489, 87]",Full incontinence of feces,R15.9
Itching of the anus,"[557, 649, 379, 552]",Pruritus ani,L29.0
Muscle weakness,"[515, 198, 778, 174, 622]",Muscle weakness,M62.81
Discharge in stools,"[248, 546, 748]",Other fecal abnormalities,R19.5
Elbow stiffness or tightness,[103],Stiffness of unspecified elbow,M25.629
Increased heart rate,"[42, 115, 129, 488, 214, 424, 557, 33, 414, 134, 651, 211, 418, 621, 720, 174, 542, 642, 617, 457, 14, 412, 247, 348, 465, 517, 751]","Tachycardia, unspecified",R00.0
Symptoms of prostate,"[42, 303, 195, 380, 511, 729, 442, 319, 310, 499, 642, 551, 469, 586, 523, 299, 169, 447]","Disorder of prostate, unspecified",N42.9
Fever,"[55, 347, 357, 443, 608, 696, 717, 572, 80, 206, 396, 789, 43, 67, 265, 612, 614, 630, 783, 272, 337, 118, 165, 423, 453, 773, 564, 605, 120, 128, 132, 133, 199, 484, 490, 535, 715, 793, 442, 709, 760, 225, 240, 589, 9, 431, 459, 466, 483, 545, 689, 205, 351, 186, 3, 790, 84, 228, 707, 168, 400, 555, 624, 637, 671, 582, 278, 340, 358, 176, 531, 66, 234, 610, 619, 59, 426, 435, 468, 507, 540, 676, 592, 38, 92, 282, 171, 461, 486, 625, 647, 746, 575, 305, 311, 148, 440, 493, 514]","Fever, unspecified",R50.9
Ankle pain,"[226, 796, 189, 212, 170, 18, 611, 375, 328, 479, 180, 99, 420, 341, 678, 205, 323, 770, 344, 126, 388, 390, 579, 307, 29, 50, 345, 513, 295, 193, 397, 467, 590, 90, 244, 350, 135, 528, 533, 665]",Pain in unspecified ankle and joints of unspecified foot,M25.579
Abnormal breathing sounds,"[147, 789, 118, 794, 264, 695, 566, 61, 221, 368, 610, 158, 493]","Breathing abnormality, unspecified",R06.9
Difficulty in swallowing,"[147, 717, 106, 144, 396, 683, 789, 598, 783, 284, 300, 140, 656, 128, 308, 139, 515, 215, 425, 638, 589, 431, 459, 224, 186, 3, 510, 192, 112, 127, 98, 524, 713, 559, 664, 786, 194, 202]","Dysphagia, unspecified",R13.10
Skin rash,"[376, 547, 563, 553, 737, 212, 237, 265, 288, 783, 113, 165, 415, 758, 227, 119, 793, 395, 633, 784, 231, 277, 8, 9, 459, 117, 462, 421, 520, 666, 97, 278, 298, 364, 188, 505, 531, 592, 92, 593, 330]",Rash and other nonspecific skin eruption,R21
Bleeding from ear,"[443, 302, 498, 365, 338, 738, 541, 690, 207, 305, 385, 680]","Otorrhagia, unspecified ear",H92.20
Melena,"[448, 512, 506, 140, 331, 180, 788, 594, 104, 360, 184, 748, 53, 47, 649, 369, 412, 325, 379, 438]",Melena,K92.1
Vaginal discharge,"[463, 494, 529, 662, 682, 711, 79, 268, 133, 154, 535, 75, 291, 356, 141, 64, 150, 530, 705, 102, 653, 174, 404, 666, 588, 430, 750, 156, 110, 740, 74, 684]",Other specified noninflammatory disorders of vagina,N89.8
Knee pain,"[474, 763, 782, 511, 777, 99, 277, 420, 543, 723, 223, 236, 678, 745, 719, 405, 433, 712, 40, 68, 513, 73, 295, 350, 440]",Pain in unspecified knee,M25.569
Feeling hot and cold,"[547, 230, 675, 336, 377, 762, 255, 63, 700, 744, 323, 716, 307, 292, 764, 232, 282, 194, 497, 706, 756]",Other general symptoms and signs,R68.89
Retention of urine,"[608, 701, 106, 212, 332, 195, 380, 646, 12, 441, 476, 504, 715, 274, 280, 320, 442, 500, 99, 310, 317, 576, 102, 163, 53, 499, 642, 316, 544, 355, 531, 655, 752, 581, 684]","Retention of urine, unspecified",R33.9
Thirst,"[701, 263, 267, 768, 175, 185, 369]",Polydipsia,R63.1
Acne or pimples,"[563, 334, 553, 737, 288, 392, 162, 415, 423, 639, 758, 199, 791, 633, 754, 143, 6, 660, 112, 36, 97, 335, 427, 77, 361, 373, 650, 626, 725, 422, 92, 464, 590, 593, 91, 322, 330, 583, 596]","Acne, unspecified",L70.9
Skin moles,"[587, 693, 737, 392, 415, 758, 227, 791, 633, 367, 143, 776, 520, 719, 567, 427, 551, 650, 29, 725, 464, 593, 91, 322, 330]","Melanocytic nevi, unspecified",D22.9
Lump in throat,"[106, 537, 215, 794, 127, 774, 194, 87]","Localized swelling, mass and lump, neck",R22.1
Abnormal involuntary movements,"[366, 115, 15, 724, 333, 508, 562, 137, 561, 424, 484, 697, 63, 515, 784, 425, 283, 13, 455, 722, 93, 669, 778, 260, 264, 183, 5, 290, 643, 98, 556, 712, 368, 686, 201, 259, 363, 130, 489, 743, 105, 286, 604, 257, 121, 177]",Unspecified abnormal involuntary movements,R25.9
Pain in gums,"[374, 638, 358, 178, 417, 629]",Other specified disorders of gingiva,K06.8
Infant feeding problem,"[683, 10, 341, 458, 218, 31, 89, 233]","Feeding difficulties, unspecified",R63.30
Burning chest pain,"[580, 518, 418, 71, 185, 751]",Other chest pain,R07.89
Bladder mass,"[274, 310, 389, 517]",Other specified disorders of bladder,N32.89
Itchy scalp,"[754, 83, 97, 335, 427, 245, 361, 188, 373, 764, 295, 593, 330, 629]","Pruritus, unspecified",L29.9
Low back stiffness or tightness,"[565, 438]",Stiffness of other specified joint,M25.69
Hip weakness,[687],Muscle weakness,M62.81
,"[155, 155, 155, 155, 155, 11, 17, 17, 17, 17, 17, 17, 17, 17, 787, 285, 285, 285, 285, 285, 159, 159, 159, 159, 159, 159, 159, 159, 19, 19, 19, 19, 19, 19, 19, 19, 19, 428, 428, 474, 474, 474, 474, 474, 701, 782, 782, 782, 782, 782, 353, 353, 353, 353, 353, 353, 353, 353, 656, 656, 656, 235, 235, 235, 714, 714, 714, 766, 766, 766, 766, 766, 766, 766, 766, 606, 606, 606, 30, 30, 85, 85, 85, 85, 85, 85, 85, 85, 85, 214, 338, 338, 338, 359, 359, 359, 359, 120, 120, 120, 120, 120, 173, 12, 12, 12, 409, 409, 409, 409, 409, 409, 409, 416, 416, 416, 416, 451, 509, 509, 509, 509, 509, 509, 509, 509, 729, 729, 736, 736, 736, 736, 736, 736, 736, 736, 736, 736, 738, 738, 738, 33, 33, 263, 318, 318, 318, 331, 331, 139, 139, 139, 180, 398, 398, 398, 472, 472, 472, 710, 710, 710, 710, 747, 747, 747, 747, 747, 747, 747, 788, 788, 788, 273, 273, 273, 273, 273, 273, 394, 394, 775, 775, 775, 775, 775, 46, 46, 46, 640, 640, 249, 249, 249, 249, 267, 267, 267, 267, 267, 267, 267, 267, 267, 314, 314, 314, 314, 314, 314, 314, 387, 485, 485, 485, 485, 485, 681, 681, 681, 681, 681, 681, 681, 705, 705, 705, 705, 600, 600, 600, 600, 600, 600, 600, 71, 71, 71, 209, 209, 209, 209, 209, 209, 221, 221, 221, 221, 221, 221, 221, 138, 138, 138, 138, 138, 138, 138, 157, 157, 157, 197, 197, 197, 197, 197, 401, 401, 401, 401, 401, 401, 401, 401, 401, 686, 686, 306, 306, 306, 306, 306, 306, 306, 399, 487, 487, 516, 516, 703, 703, 703, 703, 703, 703, 313, 313, 313, 313, 313, 313, 313, 313, 313, 179, 179, 179, 179, 179, 179, 179, 5, 5, 16, 16, 16, 16, 16, 24, 24, 24, 24, 502, 502, 502, 757, 757, 757, 757, 757, 757, 595, 108, 108, 95, 95, 95, 246, 246, 246, 246, 246, 251, 251, 312, 372, 372, 372, 688, 688, 688, 688, 688, 688, 688, 688, 731, 731, 731, 731, 731, 111, 111, 111, 211, 211, 211, 211, 142, 142, 182, 182, 434, 434, 434, 434, 434, 437, 437, 437, 437, 437, 437, 437, 437, 437, 501, 546, 549, 549, 772, 778, 778, 778, 103, 124, 124, 124, 124, 369, 384, 384, 384, 384, 419, 419, 419, 419, 419, 419, 419, 548, 699, 699, 699, 565, 569, 569, 569, 148, 148, 148, 148, 528, 528, 528, 528, 528, 528, 552, 552, 552, 607, 607, 616, 631, 652, 652, 652, 652, 652, 652, 652, 652, 652, 652, 680, 680, 680, 765]",,
